Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,Read Count,Owned Copies
24611788,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk,"Kolk, Bessel van der",,0143127748,9780143127741,0,Penguin Books,Paperback,445,2015,2014,,2026/03/28,did-not-finish,did-not-finish (#5),did-not-finish,1,0
59615156,A Heart Divided,Jin Yong,"Yong, Jin",,0857059602,9780857059604,0,MacLehose,Paperback,591,2021,1957,,2024/07/14,currently-reading,currently-reading (#4),currently-reading,2,1
15799284,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,0307827666,9780307827661,4,Vintage,ebook,144,2012,1942,2026/06/07,2026/05/08,strong-four,strong-four (#13),read,1,0
27793819,Madonna in a Fur Coat,Sabahattin Ali,"Ali, Sabahattin","Maureen Freely, Alexander Dawe",014198127X,9780141981277,5,Penguin,Kindle Edition,168,2016,1943,2026/05/26,2026/05/18,light-five,light-five (#6),read,1,0
38212119,The Odyssey,Homer,"Homer, Homer",Emily Wilson,0393356256,9780393356250,4,W. W. Norton & Company,Paperback,582,2018,-700,2025/11/30,2025/08/08,strong-four,strong-four (#10),read,1,0
74987024,Do Androids Dream Of Electric Sheep?,Philip K. Dick,"Dick, Philip K.",,139960774X,9781399607742,5,Gollancz,Paperback,208,2022,1968,2026/03/27,2024/08/25,bought,bought (#5),read,1,1
49081674,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,0593189647,9780593189641,0,Penguin Random House USA,Paperback,306,2019,2018,,2025/07/13,did-not-finish,did-not-finish (#4),did-not-finish,1,1
588495,Dracula,Bram Stoker,"Stoker, Bram","Maurice Hindle, Christopher Frayling",,,0,Penguin Classics,Paperback,454,2003,1897,,2025/11/09,"bought, did-not-finish","bought (#21), did-not-finish (#3)",did-not-finish,2,0
1229042,The Republic,Plato,"Plato, Plato","Desmond Lee, Melissa Lane",,,0,Penguin Books,Paperback,381,2007,-400,,2024/06/19,"paused, did-not-finish","paused (#1), did-not-finish (#1)",did-not-finish,1,1
34905404,The Scarlet Letter,Nathaniel Hawthorne,"Hawthorne, Nathaniel",,1542096162,9781542096164,0,AmazonClassics,Kindle Edition,124,2017,1850,,2024/08/05,did-not-finish,did-not-finish (#2),did-not-finish,1,0
25320232,Ariel,Sylvia Plath,"Plath, Sylvia",,0571322727,9780571322725,0,Faber and Faber ,Paperback,81,2015,1965,,2026/02/25,currently-reading,currently-reading (#3),currently-reading,1,0
43208413,I Who Have Never Known Men,Jacqueline Harpman,"Harpman, Jacqueline","Sophie Mackintosh, Ros Schwartz",1473570808,9781473570801,4,Penguin Vintage Digital,Kindle Edition,208,2019,1995,2025/12/30,2025/12/06,strong-four,strong-four (#12),read,1,0
9130248,Lolita,Vladimir Nabokov,"Nabokov, Vladimir",,0307744027,9780307744029,0,Vintage,ebook,352,2010,1955,,2025/12/27,currently-reading,currently-reading (#2),currently-reading,1,0
122992154,The Remains of the Day,Kazuo Ishiguro,"Ishiguro, Kazuo",,0571200737,9780571200733,4,Faber and Faber Limited,Paperback,258,1999,1989,2025/12/26,2025/12/13,strong-four,strong-four (#11),read,1,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,0593135202,9780593135204,0,Ballantine Books,Hardcover,476,2021,2021,,2024/06/23,"currently-reading, bought","currently-reading (#1), bought (#22)",currently-reading,1,1
202949516,"More Days at the Morisaki Bookshop (Days at the Morisaki Bookshop, #2)",Satoshi Yagisawa,"Yagisawa, Satoshi",Eric Ozawa,1786584336,9781786584335,1,Manilla Press,Kindle Edition,178,2024,2011,2025/12/14,2025/11/19,,,read,1,0
25066117,The Alchemist,Paulo Coelho,"Coelho, Paulo",,0062416219,9780062416216,4,HarperOne,Kindle Edition,208,2015,1988,2025/12/04,2025/11/26,light-four,light-four (#16),read,1,0
60744223,I Want to Die but I Want to Eat Tteokbokki,Baek Se-hee,"Se-hee, Baek",Anton Hur,1526648083,9781526648082,3,Bloomsbury Publishing,Kindle Edition,208,2022,2018,2025/11/24,2025/11/21,strong-three,strong-three (#5),read,1,0
60100481,White Nights,Fyodor Dostoevsky,"Dostoevsky, Fyodor",Fyodor Dostoevsky,0241252105,9780241252109,4,Penguin,ebook,96,2016,1848,2025/11/15,2025/11/14,light-four,light-four (#12),read,1,0
56896912,A Snake Lies Waiting (Legends of the Condor Heroes #3),Jin Yong,"Yong, Jin","Anna Holmwood, Gigi Chang",178429957X,9781784299576,3,MacLehose Press,Paperback,429,2020,1957,2024/07/14,2024/07/12,strong-three,strong-three (#4),read,1,1
134910383,Bridge of San Luis Rey,Thornton Wilder,"Wilder, Thornton",,1515460029,9781515460022,3,Dancing Unicorn Books,Kindle Edition,101,2023,1927,2024/08/12,2024/08/10,light-three,light-three (#3),read,1,0
44201556,A Bond Undone: Legends of the Condor Heroes Vol. 2,Jin Yong,"Yong, Jin",,1784299588,9781784299583,4,MacLehose Press,Paperback,509,2019,1957,2024/07/12,2024/06/23,light-four,light-four (#15),read,1,1
52379425,Metamorphosis and Other Stories,Franz Kafka,"Kafka, Franz",Michael Hofmann,0241436249,9780241436240,4,Penguin Classics,Paperback,272,2020,1915,2024/06/24,2024/07/12,light-four,light-four (#14),read,1,1
40550033,"A Hero Born (Legends of the Condor Heroes, #1)",Jin Yong,"Yong, Jin",,1848667922,9781848667921,4,QUERCUS,Paperback,394,2018,1957,2024/06/23,2024/06/20,light-four,light-four (#13),read,1,1
35427437,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,"Stevenson, Robert Louis",,154209769X,9781542097697,3,AmazonClassics,Kindle Edition,62,2017,1886,2024/08/15,2024/08/12,strong-three,strong-three (#3),read,1,0
43152424,Giving Alms,Khin Chan Myae Maung,"Maung, Khin Chan Myae",,9811177023,9789811177026,3,Ethos Books,Paperback,80,2018,,2025/03/22,2025/03/22,light-three,light-three (#2),read,1,0
181906411,"Days at the Morisaki Bookshop (Days at the Morisaki Bookshop, #1)",Satoshi Yagisawa,"Yagisawa, Satoshi",Eric Ozawa,1786583232,9781786583239,3,Manilla Press,Paperback,170,2023,2010,2025/05/05,2025/04/29,strong-three,strong-three (#2),read,1,1
231279088,The Dream of a Ridiculous Man (Penguin Archive),Fyodor Dostoyevsky,"Dostoyevsky, Fyodor",Fyodor Dostoevsky,0241746914,9780241746912,4,Penguin Classics,Paperback,144,2025,1877,2025/05/30,2025/05/01,"bought, light-four","bought (#18), light-four (#11)",read,1,1
3397709,Notes from Underground and The Double,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Fyodor Dostoyevsky, Ronald Wilks, Robert Louis Jackson",0140455124,9780140455120,5,Penguin Classics,Paperback,291,2009,1864,2025/07/09,2025/06/11,strong-five,strong-five (#8),read,1,1
59421699,Sergeant Salinger,Jerome Charyn,"Charyn, Jerome",,0857304712,9780857304711,4,No Exit Press ,Hardcover,256,2021,2021,2025/07/22,2025/06/28,light-four,light-four (#10),read,1,1
53169183,Children of Dune (Dune #3),Frank Herbert,"Herbert, Frank",,0593201744,9780593201749,5,Ace,Paperback,480,2020,1976,2025/08/06,2024/06/19,"paused, light-five","paused (#2), light-five (#5)",read,1,1
29410489,The Death of Ivan Ilyich,Leo Tolstoy,"Tolstoy, Leo",,0241251761,9780241251768,4,Penguin,Paperback,114,2016,1886,2025/08/28,2025/08/14,light-four,light-four (#9),read,1,0
350540,The Road,Cormac McCarthy,"McCarthy, Cormac",,0307387895,9780307387899,5,Vintage International,Paperback,287,2006,2006,2025/09/11,2024/08/25,light-five,light-five (#4),read,1,1
218671839,"Strange Houses (Strange Houses, #1)",Uketsu,"Uketsu, Uketsu",Jim Rion,006343315X,9780063433151,3,HarperVia,Paperback,203,2025,2021,2025/11/01,2025/11/01,light-three,light-three (#1),read,1,0
